Controller,Error Area,Points Traversed,Sum of Errors,Time Taken
pid_normal,0.0035752678819462092,118,71.93919850650093,11.8578269482
pid_fractional,0.006293793385386709,113,67.56757595013215,11.5490679741
pid_adaptive_fractional,0.002815121684150295,121,74.38946818866764,12.3682820797
pid_nonlinear_fractional,0.06538132483361275,123,73.82270439414486,12.5884389877
pid_time_delay_fractional,0.004064665649824388,118,71.93313901524108,12.0476310253
