,F-Statistic,p-Value
Error Area,161.000144495501,3.9778536483992906e-12
Points Traversed,0.1888883648540301,0.9405079284560411
Sum of Errors,0.0525489674410294,0.9942669570669426
Time Taken,0.2101970844412918,0.9287327469539726
